h12,h11,euler,cluster_size,arrangements,singularity_profiles,modular_forms
3,51,96,5,"12,15,20,29,44",p3=12|p4_0=0|p4_1=11|p5_0=0|p5_1=0|p5_2=1|l3=3;p3=18|p4_0=0|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2;p3=18|p4_0=0|p4_1=6|p5_0=1|p5_1=0|p5_2=1|l3=2;p3=21|p4_0=1|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2;p3=32|p4_0=0|p4_1=1|p5_0=1|p5_1=2|p5_2=0|l3=1,
4,46,84,4,"25,32,39,45",p3=21|p4_0=0|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2;p3=24|p4_0=1|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2;p3=27|p4_0=0|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1;p3=30|p4_0=1|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,
3,47,88,4,"26,33,40,46",p3=17|p4_0=1|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2;p3=20|p4_0=2|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2;p3=23|p4_0=1|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1;p3=26|p4_0=2|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,
2,48,92,4,"27,34,41,47",p3=13|p4_0=2|p4_1=8|p5_0=0|p5_1=1|p5_2=0|l3=2;p3=16|p4_0=3|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2;p3=19|p4_0=2|p4_1=3|p5_0=1|p5_1=1|p5_2=0|l3=1;p3=22|p4_0=3|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,
1,61,120,3,"11,14,5",p3=12|p4_0=2|p4_1=3|p5_0=0|p5_1=0|p5_2=3|l3=3;p3=6|p4_0=0|p4_1=7|p5_0=0|p5_1=2|p5_2=1|l3=3;p3=9|p4_0=1|p4_1=5|p5_0=0|p5_1=1|p5_2=2|l3=3,
2,56,108,3,"13,17,8",p3=12|p4_0=1|p4_1=7|p5_0=0|p5_1=0|p5_2=2|l3=3;p3=18|p4_0=1|p4_1=2|p5_0=0|p5_1=2|p5_2=1|l3=2;p3=9|p4_0=0|p4_1=9|p5_0=0|p5_1=1|p5_2=1|l3=3,
5,41,72,3,"35,56,62",p3=24|p4_0=0|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2;p3=33|p4_0=1|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1;p3=36|p4_0=0|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,
4,42,76,3,"36,57,63",p3=20|p4_0=1|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2;p3=29|p4_0=2|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1;p3=32|p4_0=1|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,
3,43,80,3,"37,58,64",p3=16|p4_0=2|p4_1=10|p5_0=0|p5_1=0|p5_2=0|l3=2;p3=25|p4_0=3|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1;p3=28|p4_0=2|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,
1,57,112,2,"10,18",p3=14|p4_0=2|p4_1=2|p5_0=0|p5_1=2|p5_2=1|l3=2;p3=8|p4_0=2|p4_1=7|p5_0=0|p5_1=0|p5_2=2|l3=3,
3,55,104,2,"16,7",p3=16|p4_0=0|p4_1=7|p5_0=0|p5_1=0|p5_2=2|l3=3;p3=22|p4_0=0|p4_1=2|p5_0=0|p5_1=2|p5_2=1|l3=2,
2,52,100,2,"21,30",p3=14|p4_0=1|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2;p3=17|p4_0=2|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,
1,53,104,2,"22,31",p3=10|p4_0=2|p4_1=6|p5_0=0|p5_1=2|p5_2=0|l3=2;p3=13|p4_0=3|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,
5,45,80,2,"24,38",p3=28|p4_0=0|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2;p3=34|p4_0=0|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,
1,49,96,2,"28,42",p3=12|p4_0=4|p4_1=6|p5_0=0|p5_1=0|p5_2=1|l3=2;p3=18|p4_0=4|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,
2,60,116,2,"4,9",p3=13|p4_0=0|p4_1=5|p5_0=0|p5_1=1|p5_2=2|l3=3;p3=16|p4_0=1|p4_1=3|p5_0=0|p5_1=0|p5_2=3|l3=3,
7,35,56,2,"48,66",p3=40|p4_0=0|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1;p3=46|p4_0=0|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,
6,36,60,2,"49,67",p3=36|p4_0=1|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1;p3=42|p4_0=1|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,
5,37,64,2,"50,68",p3=32|p4_0=2|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1;p3=38|p4_0=2|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,
4,38,68,2,"51,69",p3=28|p4_0=3|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1;p3=34|p4_0=3|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,
3,39,72,2,"52,70",p3=24|p4_0=4|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1;p3=30|p4_0=4|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,
2,40,76,2,"53,71",p3=20|p4_0=5|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1;p3=26|p4_0=5|p4_1=0|p5_0=1|p5_1=0|p5_2=0|l3=0,
1,41,80,2,"54,83",p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0;p3=16|p4_0=6|p4_1=5|p5_0=0|p5_1=0|p5_2=0|l3=1,
2,44,84,2,"59,65",p3=21|p4_0=4|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1;p3=24|p4_0=3|p4_1=0|p5_0=2|p5_1=0|p5_2=0|l3=0,
0,40,80,2,"84,84a",p3=16|p4_0=10|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,"12k4A,6k4A"
1,69,136,1,1,p3=8|p4_0=0|p4_1=4|p5_0=0|p5_1=0|p5_2=4|l3=4,
4,50,92,1,19,p3=25|p4_0=0|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,
0,70,140,1,2,p3=4|p4_0=1|p4_1=4|p5_0=0|p5_1=0|p5_2=4|l3=4,8k4A
0,54,108,1,23,p3=9|p4_0=4|p4_1=4|p5_0=0|p5_1=1|p5_2=1|l3=2,64k4A
3,59,112,1,3,p3=20|p4_0=0|p4_1=3|p5_0=0|p5_1=0|p5_2=3|l3=3,
0,50,100,1,43,p3=14|p4_0=5|p4_1=1|p5_0=0|p5_1=2|p5_2=0|l3=1,16k4A
6,40,68,1,55,p3=37|p4_0=0|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,
0,62,124,1,6,p3=8|p4_0=3|p4_1=3|p5_0=0|p5_1=0|p5_2=3|l3=3,32k4C
1,45,88,1,60,p3=17|p4_0=5|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,
0,46,92,1,61,p3=13|p4_0=6|p4_1=3|p5_0=0|p5_1=1|p5_2=0|l3=1,64k4C
9,29,40,1,72,p3=56|p4_0=0|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
8,30,44,1,73,p3=52|p4_0=1|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
7,31,48,1,74,p3=48|p4_0=2|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
6,32,52,1,75,p3=44|p4_0=3|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
5,33,56,1,76,p3=40|p4_0=4|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
4,34,60,1,77,p3=36|p4_0=5|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
3,35,64,1,78,p3=32|p4_0=6|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
4,36,64,1,79,p3=32|p4_0=6|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
3,37,68,1,80,p3=28|p4_0=7|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
2,38,72,1,81,p3=24|p4_0=8|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
1,39,76,1,82,p3=20|p4_0=9|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,
0,44,88,1,85,p3=8|p4_0=12|p4_1=0|p5_0=0|p5_1=0|p5_2=0|l3=0,8k4A
