arrangement_id,validation_status,inventory_signature,hodge_signature,h12,h11,euler,incidence_table_size,automorphism_group_order,gluing_matrix_shape,rank_Q,rank_F2,kernel_dim_Q,cokernel_dim_Q,smith_normal_form,plane_orbit_sizes,double_line_orbit_sizes,multiple_point_orbit_sizes,equivariant_gluing_signature
1,validated_combinatorial,p3=4;p4_0=5;p4_1=0;p5_0=4;p5_1=0;p5_2=0;l3=4,h12=1;h11=69;euler=136,1.0,69.0,136.0,25,8,13x16,13,11,3,0,"1,1,1,1,1,1,1,1,1,1,1,2,12","4,4","2,2,4,8","1,4,4,4","{""automorphism_group_order"": 8, ""cokernel_dim_Q"": 0, ""double_line_orbit_sizes"": ""2,2,4,8"", ""gluing_matrix_shape"": [13, 16], ""kernel_dim_Q"": 3, ""multiple_point_orbit_sizes"": ""1,4,4,4"", ""plane_orbit_sizes"": ""4,4"", ""rank_F2"": 11, ""rank_Q"": 13, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 12]}"
3,validated_combinatorial,p3=8;p4_0=6;p4_1=0;p5_0=3;p5_1=0;p5_2=0;l3=3,h12=3;h11=59;euler=112,3.0,59.0,112.0,21,6,17x19,16,13,3,1,"1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,12","1,1,3,3","1,3,3,3,3,6","1,1,3,3,3,3,3","{""automorphism_group_order"": 6, ""cokernel_dim_Q"": 1, ""double_line_orbit_sizes"": ""1,3,3,3,3,6"", ""gluing_matrix_shape"": [17, 19], ""kernel_dim_Q"": 3, ""multiple_point_orbit_sizes"": ""1,1,3,3,3,3,3"", ""plane_orbit_sizes"": ""1,1,3,3"", ""rank_F2"": 13, ""rank_Q"": 16, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 12]}"
19,validated_combinatorial,p3=9;p4_0=8;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=2,h12=4;h11=50;euler=92,4.0,50.0,92.0,18,4,19x22,18,16,4,1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,20","1,1,2,2,2","1,1,2,2,2,2,4,4,4","1,1,1,1,1,2,2,2,4,4","{""automorphism_group_order"": 4, ""cokernel_dim_Q"": 1, ""double_line_orbit_sizes"": ""1,1,2,2,2,2,4,4,4"", ""gluing_matrix_shape"": [19, 22], ""kernel_dim_Q"": 4, ""multiple_point_orbit_sizes"": ""1,1,1,1,1,2,2,2,4,4"", ""plane_orbit_sizes"": ""1,1,2,2,2"", ""rank_F2"": 16, ""rank_Q"": 18, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 20]}"
32,validated_combinatorial,p3=8;p4_0=11;p4_1=0;p5_0=1;p5_1=0;p5_2=0;l3=2,h12=4;h11=46;euler=84,4.0,46.0,84.0,16,4,20x22,20,18,2,0,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12","1,1,2,4","1,1,2,2,2,2,4,4,4","1,1,2,2,2,2,2,4,4","{""automorphism_group_order"": 4, ""cokernel_dim_Q"": 0, ""double_line_orbit_sizes"": ""1,1,2,2,2,2,4,4,4"", ""gluing_matrix_shape"": [20, 22], ""kernel_dim_Q"": 2, ""multiple_point_orbit_sizes"": ""1,1,2,2,2,2,2,4,4"", ""plane_orbit_sizes"": ""1,1,2,4"", ""rank_F2"": 18, ""rank_Q"": 20, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12]}"
69,validated_combinatorial,p3=14;p4_0=6;p4_1=0;p5_0=2;p5_1=0;p5_2=0;l3=1,h12=4;h11=38;euler=68,4.0,38.0,68.0,16,4,22x25,21,20,4,1,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6","1,1,2,4","1,2,2,2,2,4,4,4,4","1,1,2,2,2,2,2,2,4,4","{""automorphism_group_order"": 4, ""cokernel_dim_Q"": 1, ""double_line_orbit_sizes"": ""1,2,2,2,2,4,4,4,4"", ""gluing_matrix_shape"": [22, 25], ""kernel_dim_Q"": 4, ""multiple_point_orbit_sizes"": ""1,1,2,2,2,2,2,2,4,4"", ""plane_orbit_sizes"": ""1,1,2,4"", ""rank_F2"": 20, ""rank_Q"": 21, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6]}"
93,validated_combinatorial,p3=13;p4_0=9;p4_1=0;p5_0=1;p5_1=0;p5_2=0;l3=1,h12=None;h11=None;euler=None,,,,14,4,23x25,23,21,2,0,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,72","1,1,2,2,2","1,1,1,2,2,2,2,2,4,4,4","1,1,1,1,1,2,2,2,4,4,4","{""automorphism_group_order"": 4, ""cokernel_dim_Q"": 0, ""double_line_orbit_sizes"": ""1,1,1,2,2,2,2,2,4,4,4"", ""gluing_matrix_shape"": [23, 25], ""kernel_dim_Q"": 2, ""multiple_point_orbit_sizes"": ""1,1,1,1,1,2,2,2,4,4,4"", ""plane_orbit_sizes"": ""1,1,2,2,2"", ""rank_F2"": 21, ""rank_Q"": 23, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 72]}"
238,validated_combinatorial,p3=8;p4_0=12;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,,,,12,192,20x28,20,16,8,0,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,12",8,"12,16","8,12","{""automorphism_group_order"": 192, ""cokernel_dim_Q"": 0, ""double_line_orbit_sizes"": ""12,16"", ""gluing_matrix_shape"": [20, 28], ""kernel_dim_Q"": 8, ""multiple_point_orbit_sizes"": ""8,12"", ""plane_orbit_sizes"": ""8"", ""rank_F2"": 16, ""rank_Q"": 20, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 12]}"
239,validated_combinatorial,p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,,,,10,24,26x28,26,21,2,0,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,12","4,4","4,6,6,12","4,4,6,12","{""automorphism_group_order"": 24, ""cokernel_dim_Q"": 0, ""double_line_orbit_sizes"": ""4,6,6,12"", ""gluing_matrix_shape"": [26, 28], ""kernel_dim_Q"": 2, ""multiple_point_orbit_sizes"": ""4,4,6,12"", ""plane_orbit_sizes"": ""4,4"", ""rank_F2"": 21, ""rank_Q"": 26, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 4, 4, 12]}"
240,validated_combinatorial,p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,,,,10,6,26x28,26,23,2,0,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,12","1,1,3,3","1,3,3,3,3,3,3,3,6","1,1,3,3,3,3,3,3,6","{""automorphism_group_order"": 6, ""cokernel_dim_Q"": 0, ""double_line_orbit_sizes"": ""1,3,3,3,3,3,3,3,6"", ""gluing_matrix_shape"": [26, 28], ""kernel_dim_Q"": 2, ""multiple_point_orbit_sizes"": ""1,1,3,3,3,3,3,3,6"", ""plane_orbit_sizes"": ""1,1,3,3"", ""rank_F2"": 23, ""rank_Q"": 26, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 6, 12]}"
241,validated_combinatorial,p3=16;p4_0=10;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,,,,10,32,26x28,24,24,4,2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3",8,"4,8,16","2,8,16","{""automorphism_group_order"": 32, ""cokernel_dim_Q"": 2, ""double_line_orbit_sizes"": ""4,8,16"", ""gluing_matrix_shape"": [26, 28], ""kernel_dim_Q"": 4, ""multiple_point_orbit_sizes"": ""2,8,16"", ""plane_orbit_sizes"": ""8"", ""rank_F2"": 24, ""rank_Q"": 24, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]}"
245,validated_combinatorial,p3=20;p4_0=9;p4_1=0;p5_0=0;p5_1=0;p5_2=0;l3=0,h12=None;h11=None;euler=None,,,,9,2,29x28,27,24,1,2,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,12","1,1,1,1,2,2","1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2","1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2","{""automorphism_group_order"": 2, ""cokernel_dim_Q"": 2, ""double_line_orbit_sizes"": ""1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2"", ""gluing_matrix_shape"": [29, 28], ""kernel_dim_Q"": 1, ""multiple_point_orbit_sizes"": ""1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2"", ""plane_orbit_sizes"": ""1,1,1,1,2,2"", ""rank_F2"": 24, ""rank_Q"": 27, ""smith_normal_form"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 12]}"
