arrangement_id,line_key,plane_pairs,pair_count,distinct_plane_labels,is_triple_or_higher_line_candidate,expected_nodes_if_generic_Q
84a,"1,0,0,0|0,0,0,1",p1:p2,1,"p1,p2",False,4
84a,"1,0,0,-1|0,1,0,-1",p1:p3,1,"p1,p3",False,4
84a,"1,0,0,-1|0,1,0,1",p1:p4,1,"p1,p4",False,4
84a,"1,0,0,-1|0,0,1,-1",p1:p5,1,"p1,p5",False,4
84a,"1,0,0,-1|0,0,1,1",p1:p6,1,"p1,p6",False,4
84a,"1,0,0,-1|0,1,1,0",p1:p7,1,"p1,p7",False,4
84a,"1,0,0,-1|0,1,1,-2",p1:p8,1,"p1,p8",False,4
84a,"1,0,0,1|0,1,0,-1",p2:p3,1,"p2,p3",False,4
84a,"1,0,0,1|0,1,0,1",p2:p4,1,"p2,p4",False,4
84a,"1,0,0,1|0,0,1,-1",p2:p5,1,"p2,p5",False,4
84a,"1,0,0,1|0,0,1,1",p2:p6,1,"p2,p6",False,4
84a,"1,0,0,1|0,1,1,-2",p2:p7,1,"p2,p7",False,4
84a,"1,0,0,1|0,1,1,-4",p2:p8,1,"p2,p8",False,4
84a,"0,1,0,0|0,0,0,1",p3:p4,1,"p3,p4",False,4
84a,"0,1,0,-1|0,0,1,-1",p3:p5,1,"p3,p5",False,4
84a,"0,1,0,-1|0,0,1,1",p3:p6,1,"p3,p6",False,4
84a,"1,0,1,0|0,1,0,-1",p3:p7,1,"p3,p7",False,4
84a,"1,0,1,-2|0,1,0,-1",p3:p8,1,"p3,p8",False,4
84a,"0,1,0,1|0,0,1,-1",p4:p5,1,"p4,p5",False,4
84a,"0,1,0,1|0,0,1,1",p4:p6,1,"p4,p6",False,4
84a,"1,0,1,-2|0,1,0,1",p4:p7,1,"p4,p7",False,4
84a,"1,0,1,-4|0,1,0,1",p4:p8,1,"p4,p8",False,4
84a,"0,0,1,0|0,0,0,1",p5:p6,1,"p5,p6",False,4
84a,"1,1,0,0|0,0,1,-1",p5:p7,1,"p5,p7",False,4
84a,"1,1,0,-2|0,0,1,-1",p5:p8,1,"p5,p8",False,4
84a,"1,1,0,-2|0,0,1,1",p6:p7,1,"p6,p7",False,4
84a,"1,1,0,-4|0,0,1,1",p6:p8,1,"p6,p8",False,4
84a,"1,1,1,0|0,0,0,1",p7:p8,1,"p7,p8",False,4
