arrangement,vertex_label,coordinates,degree,neighbor_labels
84,pt01,(0:0:1:0),8,"pt02,pt03,pt09,pt11,pt14,pt15,pt18,pt21"
84,pt02,(0:1:-1:0),8,"pt01,pt03,pt09,pt10,pt11,pt14,pt18,pt21"
84,pt03,(0:1:0:0),8,"pt01,pt02,pt09,pt10,pt11,pt15,pt18,pt21"
84,pt09,(1:-1:-1:1),8,"pt01,pt02,pt03,pt10,pt11,pt14,pt15,pt18"
84,pt10,(1:-1:0:0),8,"pt02,pt03,pt09,pt11,pt14,pt15,pt18,pt21"
84,pt11,(1:-1:1:-1),8,"pt01,pt02,pt03,pt09,pt10,pt14,pt15,pt18"
84,pt14,(1:0:-1:0),8,"pt01,pt02,pt09,pt10,pt11,pt15,pt18,pt21"
84,pt15,(1:0:0:0),8,"pt01,pt03,pt09,pt10,pt11,pt14,pt18,pt21"
84,pt18,(1:1:-1:-1),8,"pt01,pt02,pt03,pt09,pt10,pt11,pt14,pt15"
84,pt21,(1:1:1:1),6,"pt01,pt02,pt03,pt10,pt14,pt15"
84a,pt01,(0:0:1:0),8,"pt02,pt03,pt08,pt12,pt14,pt15,pt19,pt21"
84a,pt02,(0:1:-1:0),8,"pt01,pt03,pt08,pt10,pt12,pt14,pt19,pt21"
84a,pt03,(0:1:0:0),8,"pt01,pt02,pt08,pt10,pt12,pt15,pt19,pt21"
84a,pt08,(1:-1:-1:-1),9,"pt01,pt02,pt03,pt10,pt12,pt14,pt15,pt19,pt21"
84a,pt10,(1:-1:0:0),8,"pt02,pt03,pt08,pt12,pt14,pt15,pt19,pt21"
84a,pt12,(1:-1:1:1),9,"pt01,pt02,pt03,pt08,pt10,pt14,pt15,pt19,pt21"
84a,pt14,(1:0:-1:0),8,"pt01,pt02,pt08,pt10,pt12,pt15,pt19,pt21"
84a,pt15,(1:0:0:0),8,"pt01,pt03,pt08,pt10,pt12,pt14,pt19,pt21"
84a,pt19,(1:1:-1:1),9,"pt01,pt02,pt03,pt08,pt10,pt12,pt14,pt15,pt21"
84a,pt21,(1:1:1:1),9,"pt01,pt02,pt03,pt08,pt10,pt12,pt14,pt15,pt19"
